;N,X,Y,EXTERNAL,JOINT_TYPE,JOINT_NODE,PrevNode
         1, 235145.8094700,4327706.4456000,         1,         0,         0,         1
         2, 230108.5411500,4179871.2951300,         1,         0,         0,         2
         3, 265434.5749800,4097123.2161600,         1,         0,         0,         3
         4, 322645.1573900,4095373.4086500,         1,         0,         0,         4
         5, 363749.4899500,4095062.9853000,         1,         0,         0,         5
         6, 449588.5582200,4094330.7116200,         1,         0,         0,         6
         7, 573129.7318000,4094138.6925500,         1,         0,         0,         7
         8, 624203.3933400,4094683.3490200,         1,         0,         0,         8
         9, 673979.1238000,4113377.3410400,         1,         0,         0,         9
        10, 673163.7575900,4186860.6393300,         1,         0,         0,        10
        11, 670440.1486200,4243796.2527600,         1,         0,         0,        11
        12, 669111.7806000,4339996.6151800,         1,         0,         0,        12
        13, 666291.0533500,4459138.7687800,         1,         0,         0,        13
        14, 632630.4075700,4540595.8978900,         1,         0,         0,        14
        15, 611655.0427200,4540329.5826300,         1,         0,         0,        15
        16, 597112.9286700,4539830.5885200,         1,         0,         0,        16
        17, 510953.7198100,4539473.9543500,         1,         0,         0,        17
        18, 496918.2249000,4566390.2281700,         1,         0,         0,        18
        19, 496567.2794000,4583953.6673100,         1,         0,         0,        19
        20, 496961.8125400,4625458.5627500,         1,         0,         0,        20
        21, 466377.1709400,4650803.3480800,         1,         0,         0,        21
        22, 432736.1581900,4651662.0186000,         1,         0,         0,        22
        23, 400484.9018500,4651540.7284800,         1,         0,         0,        23
        24, 347675.0316200,4652154.4604800,         1,         0,         0,        24
        25, 318013.2697500,4652635.8645900,         1,         0,         0,        25
        26, 244911.0401400,4583431.2944900,         1,         0,         0,        26
        27, 242061.8825100,4514159.3473100,         1,         0,         0,        27
     11658, 417421.6958800,4594647.5671700,         0,         1,         0,     11658
     11667, 408515.9933100,4599941.4703300,         0,         1,         0,     11667
     11670, 406555.0586300,4593977.0153000,         0,         1,         0,     11670
     11677, 410103.5527400,4605735.3922800,         0,         1,         0,     11677
     11680, 410187.9779900,4605752.2773300,         0,         1,         0,     11680
     12406, 496155.8222800,4566340.3583000,         0,         4,         0,     12406
     13465, 511405.7364200,4538786.0669600,         0,         4,         0,     13465
     13580, 414788.2679300,4626026.9394200,         0,         2,         0,     13580
     13586, 276834.3054700,4166969.0811500,         0,         3,         0,     13586
     13591, 433693.9967800,4507344.9174000,         0,         1,         0,     13591
     13599, 409518.7739300,4605320.3004800,         0,         1,     82185,     13599
     13796, 411956.4961200,4606440.4768800,         0,         1,         0,     13796
     15023, 450630.9140600,4585176.6107100,         0,         2,         0,     15023
     15124, 488941.4086000,4561976.6435500,         0,         4,         0,     15124
     15126, 412943.6851300,4633773.6321600,         0,         2,         0,     15126
     15128, 428002.5122100,4582992.9416200,         0,         2,         0,     15128
     15129, 432677.9489300,4650295.0319400,         0,         2,         0,     15129
     15130, 266289.7949900,4097632.4712600,         0,         3,         0,     15130
     15131, 322308.4908300,4096226.0973600,         0,         3,         0,     15131
     15133, 320856.0691800,4152784.9475300,         0,         3,         0,     15133
     15134, 282289.5706000,4159241.7277000,         0,         3,         0,     15134
     15136, 265263.6839400,4166140.6043700,         0,         3,         0,     15136
     15140, 432854.7217600,4511633.6082300,         0,         1,         0,     15140
     15141, 433630.6896600,4507395.6635800,         0,         1,         0,     15141
     15151, 421777.0926400,4574520.9655800,         0,         1,         0,     15151
     15152, 430682.6382200,4421301.9665300,         0,         1,         0,     15152
     15153, 399764.7207500,4454092.1137600,         0,         1,         0,     15153
     15159, 405768.9290000,4549857.0801600,         0,         1,         0,     15159
     15690, 450814.2710800,4435682.0838500,         0,         1,         0,     15690
     15691, 434292.6607100,4504691.0770800,         0,         1,         0,     15691
     15692, 424765.0394600,4554361.0293200,         0,         1,         0,     15692
     15694, 396158.6234600,4508511.0841600,         0,         1,         0,     15694
     15695, 396137.3747100,4508541.8210200,         0,         1,         0,     15695
     15699, 405704.6614700,4423746.0466500,         0,         1,         0,     15699
     15701, 430727.2122400,4421288.2514500,         0,         1,         0,     15701
     15706, 303756.0800000,4151398.8021200,         0,         3,         0,     15706
     15707, 303879.4127100,4151341.8793300,         0,         3,         0,     15707
     15714, 438431.6899600,4430524.9462600,         0,         1,         0,     15714
     15715, 453757.2741200,4444948.4657500,         0,         1,         0,     15715
     15717, 444721.1712800,4463150.2281800,         0,         1,         0,     15717
     15719, 436396.4882500,4476009.4003900,         0,         1,         0,     15719
     15721, 434646.5623400,4491561.1720900,         0,         1,         0,     15721
     15723, 434378.4745300,4496789.1216800,         0,         1,         0,     15723
     15727, 424792.4839300,4554232.3212500,         0,         1,         0,     15727
     15729, 422853.1878000,4565473.3344200,         0,         1,         0,     15729
     15732, 460902.6496600,4641585.6633200,         0,         2,         0,     15732
     15735, 420480.5585000,4600119.5079500,         0,         2,         0,     15735
     15740, 268806.7513200,4165842.7940100,         0,         3,         0,     15740
     15741, 242688.4683200,4166661.5281900,         0,         3,         0,     15741
     15745, 447029.4667400,4511339.7871600,         0,         4,         0,     15745
     15746, 446931.7024400,4511547.4103100,         0,         4,         0,     15746
     15748, 453672.9054500,4533569.8320000,         0,         4,         0,     15748
     15751, 455476.7618600,4544854.3054400,         0,         4,         0,     15751
     15752, 455421.8847500,4544834.7515300,         0,         4,         0,     15752
     15762, 303827.4384000,4150525.6197100,         0,         3,      1455,     15762
     15763, 331523.3490300,4121164.2498500,         0,         3,         0,     15763
     15823, 396370.1573300,4508372.1079700,         0,         1,         0,     15823
     15967, 452968.8524500,4495295.9423700,         0,         4,         0,     15967
     15968, 448239.9957900,4475732.7922700,         0,         4,         0,     15968
     15969, 452824.1003800,4468531.2278500,         0,         4,         0,     15969
     15970, 480639.1869700,4443809.7184000,         0,         4,         0,     15970
     15971, 479722.3186700,4431933.8682400,         0,         4,         0,     15971
     15972, 508900.0474800,4449863.3721800,         0,         4,         0,     15972
     15973, 508388.3664600,4479820.5361000,         0,         4,         0,     15973
     15974, 406502.1524800,4594097.2700200,         2,         0,         0,     30000
     15975, 408563.4199900,4599989.9372400,         2,         0,         0,     30001
     15976, 410152.0964400,4605744.6622000,         2,         0,         0,     30002
     15977, 411915.5821100,4606415.7527900,         2,         0,         0,     30003
     15978, 417421.7210300,4594715.0927900,         2,         0,         0,     30004
     15979, 422016.1511700,4574675.0629900,         2,         0,         0,     30005
     15980, 422726.8762400,4565500.1397000,         2,         0,         0,     30006
     15981, 424697.2888100,4554295.6381000,         2,         0,         0,     30007
     15982, 396136.0790000,4508518.2211000,         2,         0,         0,     30008
     15983, 396343.4456000,4508387.9821000,         2,         0,         0,     30009
     15984, 432611.1797100,4511576.2272800,         2,         0,         0,     30010
     15985, 433637.2502900,4507341.9135500,         2,         0,         0,     30011
     15986, 434001.4205200,4504615.5272800,         2,         0,         0,     30012
     15987, 434280.6968200,4496748.5957600,         2,         0,         0,     30013
     15988, 434490.3202300,4491560.5707000,         2,         0,         0,     30014
     15989, 436356.8355400,4476034.0336400,         2,         0,         0,     30015
     15990, 444711.1540400,4463112.7128800,         2,         0,         0,     30016
     15991, 453739.0787000,4444902.6336400,         2,         0,         0,     30017
     15992, 450872.5161000,4435760.7151000,         2,         0,         0,     30018
     15993, 438540.1130900,4430220.9266800,         2,         0,         0,     30019
     15994, 430683.0440100,4421247.3727200,         2,         0,         0,     30020
     15995, 405713.5181700,4423778.2165100,         2,         0,         0,     30021
     15996, 399829.5346200,4454117.3199900,         2,         0,         0,     30022
     32576, 412959.4667100,4633781.9544400,         2,         0,         0,     50000
     32577, 414975.7575000,4625948.9023900,         2,         0,         0,     50001
     32578, 420456.1459600,4600136.8455300,         2,         0,         0,     50002
     32579, 427952.5757200,4583002.7378200,         2,         0,         0,     50003
     32580, 450609.0362100,4585179.4711900,         2,         0,         0,     50004
     32581, 460893.4842100,4641578.1742400,         2,         0,         0,     50005
     32582, 432692.0407200,4650140.5659700,         2,         0,         0,     50006
     34216, 242778.4541200,4166531.2803800,         2,         0,         0,     60000
     34217, 265121.6857400,4165636.8745500,         2,         0,         0,     60001
     34218, 268201.3317400,4165567.9184500,         2,         0,         0,     60002
     34219, 276931.6997200,4166986.5246800,         2,         0,         0,     60003
     34220, 281732.7135900,4159180.6093300,         2,         0,         0,     60004
     34221, 303777.8127400,4151172.7778500,         2,         0,         0,     60005
     34222, 320686.2385600,4152649.7600700,         2,         0,         0,     60006
     34223, 331527.3251100,4121252.3420000,         2,         0,         0,     60007
     34224, 322237.4059400,4096425.2929500,         2,         0,         0,     60008
     34225, 266481.7655900,4097837.7289600,         2,         0,         0,     60009
     35794, 447052.9022800,4511479.9360700,         2,         0,         0,     70000
     35795, 453734.0242000,4533647.9577000,         2,         0,         0,     70001
     35796, 455454.6849000,4544815.8284000,         2,         0,         0,     70002
     35797, 488997.4750000,4561864.5108000,         2,         0,         0,     70003
     35798, 496002.5324000,4566316.0576300,         2,         0,         0,     70004
     35799, 511394.4235700,4538582.4357100,         2,         0,         0,     70005
     35800, 508293.8346000,4479820.4509000,         2,         0,         0,     70006
     35801, 508846.5774600,4449828.4871800,         2,         0,         0,     70007
     35802, 479694.8550300,4432015.8849800,         2,         0,         0,     70008
     35803, 480715.6971000,4443821.5123000,         2,         0,         0,     70009
     35804, 452847.8500000,4468524.8300000,         2,         0,         0,     70010
     35805, 448282.5781300,4475890.6124500,         2,         0,         0,     70011
     35806, 453015.0949300,4495287.6548400,         2,         0,         0,     70012
